Capability Name,Reference
ACL,[RFC4314]
ANNOTATE-EXPERIMENT-1,[RFC5257]
APPENDLIMIT,[RFC7889]
AUTH=,[RFC3501][RFC9051]
BINARY,[RFC3516]
CATENATE,[RFC4469]
CHILDREN,[RFC3348]
COMPRESS=DEFLATE,[RFC4978]
CONDSTORE,[RFC7162]
CONTEXT=SEARCH,[RFC5267]
CONTEXT=SORT,[RFC5267]
CONVERT,[RFC5259]
CREATE-SPECIAL-USE,[RFC6154]
ENABLE,[RFC5161]
ESEARCH,[RFC4731]
ESORT,[RFC5267]
FILTERS,[RFC5466]
I18NLEVEL=1,[RFC5255]
I18NLEVEL=2,[RFC5255]
ID,[RFC2971]
IDLE,[RFC2177]
IMAP4REV1,[RFC3501]
IMAP4REV2,[RFC9051]
IMAPSIEVE=,[RFC6785]
LANGUAGE,[RFC5255]
LIST-EXTENDED,[RFC5258]
LIST-MYRIGHTS,[RFC8440]
LIST-STATUS,[RFC5819]
LITERAL+,[RFC7888]
LITERAL-,[RFC7888]
LOGIN-REFERRALS,[RFC2221]
LOGINDISABLED,[RFC3501][RFC9051]
MAILBOX-REFERRALS,[RFC2193]
METADATA,[RFC5464]
METADATA-SERVER,[RFC5464]
MOVE,[RFC6851]
MULTIAPPEND,[RFC3502]
MULTISEARCH,[RFC7377]
NAMESPACE,[RFC2342]
NOTIFY,[RFC5465]
OBJECTID,[RFC8474]
PREVIEW,[RFC8970]
QRESYNC,[RFC7162]
QUOTA,[RFC9208]
QUOTA=,[RFC9208]
QUOTASET,[RFC9208]
REPLACE,[RFC8508]
RIGHTS=,[RFC4314]
SASL-IR,[RFC4959]
SAVEDATE,[RFC8514]
SEARCH=FUZZY,[RFC6203]
SEARCHRES,[RFC5182]
SORT,[RFC5256]
SORT=DISPLAY,[RFC5957]
SPECIAL-USE,[RFC6154]
STARTTLS,[RFC3501][RFC9051]
STATUS=SIZE,[RFC8438]
THREAD,[RFC5256]
UIDPLUS,[RFC4315]
UNAUTHENTICATE,[RFC8437]
UNSELECT,[RFC3691]
URL-PARTIAL,[RFC5550]
URLAUTH,[RFC4467]
URLAUTH=BINARY,[RFC5524][RFC Errata 6214]
UTF8=ACCEPT,[RFC6855]
UTF8=ALL (OBSOLETE),[RFC5738][RFC6855]
UTF8=APPEND (OBSOLETE),[RFC5738][RFC6855]
UTF8=ONLY,[RFC6855]
UTF8=USER (OBSOLETE),[RFC5738][RFC6855]
WITHIN,[RFC5032]
